epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0997,0.82612,2.59215,1.23194,0.00348,0.95833,0.64489,0.44896,0.63017,3.19202,1.30452,0.00018,0.00018,0.00018
2,100.967,0.63463,1.93102,1.08351,0.00348,0.95833,0.79241,0.59004,0.71198,3.08479,1.40638,0.000376238,0.000376238,0.000376238
3,150.333,0.69994,1.45856,1.10439,0.0113,0.95833,0.86108,0.66975,0.66513,2.98244,1.31118,0.000568516,0.000568516,0.000568516
4,199.975,0.70831,1.23633,1.11397,1,0.47719,0.8733,0.66005,0.68695,2.8681,1.39048,0.000756834,0.000756834,0.000756834
5,249.639,0.7487,1.12769,1.11075,0.26135,0.14583,0.22502,0.12301,1.6017,4.20558,1.96981,0.000941192,0.000941192,0.000941192
6,300.348,0.67536,1.1126,1.06924,0.80037,0.91667,0.8451,0.57733,0.99362,2.69511,1.71479,0.00112159,0.00112159,0.00112159
7,351.546,0.68989,1.11184,1.08072,0.30148,0.58333,0.29979,0.14025,1.52532,4.11177,2.89487,0.00129803,0.00129803,0.00129803
8,403.091,0.66922,1.0371,1.05874,0.74705,0.875,0.82407,0.49318,0.84453,2.71445,1.70122,0.00147051,0.00147051,0.00147051
9,454.924,0.69947,1.04919,1.0941,0.82227,0.66667,0.76738,0.52869,0.84886,2.46552,1.57896,0.00163902,0.00163902,0.00163902
10,506.903,0.73123,1.06102,1.13133,0.5642,0.29167,0.30263,0.13229,1.59592,3.38197,3.01538,0.00180358,0.00180358,0.00180358
11,559.459,0.71308,0.99816,1.07428,0.15485,0.5625,0.16581,0.04524,2.06263,3.47656,3.43218,0.001802,0.001802,0.001802
12,610.917,0.67851,0.97748,1.07372,0.16068,0.54167,0.17827,0.07402,2.03085,3.42569,2.69049,0.0017822,0.0017822,0.0017822
13,669.008,0.7407,0.94391,1.10834,0.62442,0.79167,0.74282,0.35814,1.52904,2.62044,2.28724,0.0017624,0.0017624,0.0017624
14,721.067,0.70277,0.85685,1.06853,0.46665,0.60417,0.46023,0.19979,1.59981,2.88054,2.93374,0.0017426,0.0017426,0.0017426
15,775.893,0.66355,0.85698,1.08044,0.67683,0.625,0.64956,0.42118,1.15758,2.36957,2.34613,0.0017228,0.0017228,0.0017228
16,828.98,0.63853,0.79556,1.03943,0.38092,0.91667,0.56654,0.41899,0.94707,2.19199,1.57172,0.001703,0.001703,0.001703
17,879.871,0.71994,0.81534,1.06051,0.84165,0.44309,0.64766,0.43928,1.10452,2.17988,1.76238,0.0016832,0.0016832,0.0016832
18,931.199,0.67944,0.76529,1.04347,0.9787,0.66667,0.83054,0.62275,0.96612,1.50174,1.79617,0.0016634,0.0016634,0.0016634
19,981.947,0.63234,0.76345,1.05441,0.60743,0.67706,0.65799,0.48319,0.87905,2.40128,1.5979,0.0016436,0.0016436,0.0016436
20,1034.66,0.66225,0.77986,1.05926,0.76599,0.70833,0.77763,0.6082,0.77084,1.79302,1.48913,0.0016238,0.0016238,0.0016238
21,1089.32,0.63597,0.76106,1.0613,0.28691,0.55328,0.3926,0.23753,1.41284,2.75671,1.84295,0.001604,0.001604,0.001604
22,1142.75,0.64546,0.71141,1.04673,0.85099,0.75,0.87425,0.73311,0.7503,1.18688,1.40421,0.0015842,0.0015842,0.0015842
23,1194.79,0.56461,0.63861,1.02232,0.25373,0.6875,0.3145,0.22907,1.06614,3.99941,1.6183,0.0015644,0.0015644,0.0015644
24,1246.05,0.6049,0.65642,1.01489,0.20515,0.60417,0.18027,0.09475,1.90484,4.54459,3.19855,0.0015446,0.0015446,0.0015446
25,1296.98,0.62055,0.66785,1.03958,0.21988,0.39583,0.10946,0.02605,3.22456,4.47809,6.54674,0.0015248,0.0015248,0.0015248
26,1348.58,0.6156,0.67673,1.04987,0.98322,0.875,0.91213,0.68504,0.91024,1.34911,1.75626,0.001505,0.001505,0.001505
27,1400.12,0.60841,0.64796,1.02085,0.85484,0.83333,0.89843,0.6562,0.94752,1.25798,1.55144,0.0014852,0.0014852,0.0014852
28,1451.78,0.57281,0.5984,1.02345,0.85458,0.79167,0.84391,0.68264,0.81857,1.07214,1.50027,0.0014654,0.0014654,0.0014654
29,1503.71,0.63996,0.63102,1.06299,0.94069,0.75,0.86789,0.68203,0.87874,1.0808,1.50122,0.0014456,0.0014456,0.0014456
30,1552.88,0.57185,0.58409,1.00676,0.88972,0.79167,0.85364,0.64694,0.875,0.97128,1.56706,0.0014258,0.0014258,0.0014258
31,1602.13,0.60974,0.61129,1.02502,0.76462,0.70833,0.70013,0.4605,0.91228,1.52541,1.44039,0.001406,0.001406,0.001406
32,1652.33,0.61107,0.5977,1.01507,0.87994,0.79167,0.8444,0.6309,0.80314,1.03358,1.35571,0.0013862,0.0013862,0.0013862
33,1703.72,0.60029,0.58982,0.99574,0.90765,0.81909,0.87142,0.72483,0.6915,0.94052,1.30565,0.0013664,0.0013664,0.0013664
34,1753.68,0.5852,0.57726,1.01096,0.87248,0.91667,0.91065,0.80238,0.52908,0.7707,1.14335,0.0013466,0.0013466,0.0013466
35,1805.53,0.56318,0.56447,1.01836,0.84848,0.91667,0.90249,0.73672,0.53364,0.92508,1.20408,0.0013268,0.0013268,0.0013268
36,1855.87,0.57603,0.56365,1.01923,0.90223,0.83333,0.89733,0.68166,0.66857,1.01242,1.35314,0.001307,0.001307,0.001307
37,1909.69,0.5298,0.53064,0.98147,0.86214,0.875,0.89695,0.69154,0.64359,1.06153,1.2793,0.0012872,0.0012872,0.0012872
38,1962.11,0.549,0.52629,0.99536,0.88625,0.75,0.81525,0.63987,0.76265,1.14448,1.30936,0.0012674,0.0012674,0.0012674
39,2012.08,0.52897,0.49514,0.9869,0.89581,0.75,0.8732,0.71196,0.7023,0.95822,1.24845,0.0012476,0.0012476,0.0012476
40,2063.5,0.5459,0.49428,0.98489,0.98536,0.91667,0.93904,0.77807,0.61594,0.69778,1.30343,0.0012278,0.0012278,0.0012278
41,2114.83,0.53279,0.48752,0.96278,0.94335,0.91667,0.92341,0.74665,0.67038,0.77336,1.3369,0.001208,0.001208,0.001208
42,2165.67,0.51044,0.4707,0.96964,0.91054,0.91667,0.9389,0.80777,0.65197,0.73873,1.29937,0.0011882,0.0011882,0.0011882
43,2215.64,0.51984,0.47668,0.97896,0.87497,0.91667,0.93483,0.79089,0.62268,0.79549,1.32362,0.0011684,0.0011684,0.0011684
44,2266.37,0.52149,0.48274,1.00116,0.91608,0.79167,0.88508,0.70155,0.69526,0.90225,1.34065,0.0011486,0.0011486,0.0011486
45,2317.03,0.48659,0.46167,0.98908,0.84577,0.68553,0.79243,0.56958,0.9963,0.93363,1.82117,0.0011288,0.0011288,0.0011288
46,2367.35,0.50614,0.48544,0.9832,0.91469,0.89358,0.93805,0.70763,0.83445,0.72217,1.52191,0.001109,0.001109,0.001109
47,2418.82,0.53901,0.45573,0.98918,0.78998,0.78373,0.84754,0.70738,0.71233,1.02692,1.30838,0.0010892,0.0010892,0.0010892
48,2470.38,0.50508,0.4634,0.97947,0.28531,0.52083,0.23313,0.14216,1.37168,2.47395,2.37126,0.0010694,0.0010694,0.0010694
49,2522.1,0.46614,0.42606,0.94069,0.34546,0.68179,0.3032,0.16361,1.35082,2.43719,2.38088,0.0010496,0.0010496,0.0010496
50,2571.19,0.51183,0.45741,0.98509,0.69945,0.72728,0.68662,0.53011,1.00387,1.15065,1.73077,0.0010298,0.0010298,0.0010298
51,2620.26,0.47561,0.42683,0.97122,0.99136,0.85417,0.91188,0.77808,0.66483,0.67359,1.28929,0.00101,0.00101,0.00101
52,2669.5,0.48558,0.41785,0.96861,0.97593,0.77083,0.91305,0.77241,0.62405,0.72192,1.18215,0.0009902,0.0009902,0.0009902
53,2718.35,0.42636,0.39383,0.93981,0.90765,0.91667,0.92518,0.77631,0.53469,0.61618,1.12787,0.0009704,0.0009704,0.0009704
54,2767.87,0.49936,0.41024,0.9518,0.98905,0.91667,0.93117,0.79151,0.5547,0.53492,1.16235,0.0009506,0.0009506,0.0009506
55,2817.04,0.49417,0.42042,0.96021,0.98368,0.875,0.932,0.78567,0.59137,0.5539,1.21393,0.0009308,0.0009308,0.0009308
56,2866.7,0.48955,0.41363,0.96407,0.99299,0.875,0.9198,0.75159,0.61806,0.6539,1.2123,0.000911,0.000911,0.000911
57,2916.18,0.46608,0.41409,0.93851,0.9464,0.83333,0.8608,0.71296,0.67138,0.65084,1.31772,0.0008912,0.0008912,0.0008912
58,2968.09,0.46685,0.39229,0.95465,0.80233,0.67663,0.77018,0.57607,0.92095,0.98999,1.64428,0.0008714,0.0008714,0.0008714
59,3020.23,0.43215,0.3748,0.93407,0.92953,0.79167,0.81748,0.70588,0.61074,0.82108,1.3118,0.0008516,0.0008516,0.0008516
60,3071.57,0.47252,0.39323,0.9449,0.86063,0.83333,0.8561,0.75398,0.58277,0.86877,1.20969,0.0008318,0.0008318,0.0008318
61,3123.33,0.41943,0.36857,0.94802,0.84408,0.91667,0.90267,0.79699,0.56429,0.79152,1.21823,0.000812,0.000812,0.000812
62,3174.27,0.43812,0.37527,0.95887,0.98366,0.91667,0.95207,0.81197,0.53505,0.56878,1.21568,0.0007922,0.0007922,0.0007922
63,3226.89,0.46481,0.39163,0.93774,0.9465,0.91667,0.94583,0.77805,0.57286,0.69905,1.26286,0.0007724,0.0007724,0.0007724
64,3278.32,0.45134,0.38037,0.93323,0.91414,0.91667,0.90851,0.77054,0.54518,0.72273,1.17937,0.0007526,0.0007526,0.0007526
65,3329.14,0.43928,0.38447,0.95708,0.98323,0.91667,0.94902,0.83184,0.52272,0.65709,1.06146,0.0007328,0.0007328,0.0007328
66,3380.07,0.46473,0.37713,0.95887,0.99748,0.91667,0.91964,0.80416,0.54707,0.56115,1.10933,0.000713,0.000713,0.000713
67,3431.67,0.45428,0.40206,0.95322,0.9972,0.91667,0.93789,0.79477,0.55595,0.5757,1.15325,0.0006932,0.0006932,0.0006932
68,3483.46,0.43852,0.36888,0.96112,0.99496,0.91667,0.94302,0.82373,0.49624,0.52782,1.14217,0.0006734,0.0006734,0.0006734
69,3535.05,0.43242,0.36856,0.93714,0.99633,0.91667,0.9317,0.81649,0.50001,0.51792,1.14305,0.0006536,0.0006536,0.0006536
70,3586.34,0.4097,0.36059,0.93081,0.99315,0.91667,0.93147,0.84629,0.4702,0.50576,1.0926,0.0006338,0.0006338,0.0006338
71,3637.68,0.40161,0.36097,0.94579,0.99229,0.91667,0.93721,0.841,0.46953,0.48835,1.08259,0.000614,0.000614,0.000614
72,3688.36,0.44009,0.38002,0.94199,0.95061,0.91667,0.94424,0.85664,0.49539,0.50874,1.09217,0.0005942,0.0005942,0.0005942
73,3738.81,0.39901,0.34739,0.93516,0.99484,0.91667,0.95113,0.82917,0.47559,0.44917,1.07579,0.0005744,0.0005744,0.0005744
74,3789.41,0.42505,0.34697,0.93285,0.99055,0.91667,0.95173,0.83265,0.49779,0.43918,1.13745,0.0005546,0.0005546,0.0005546
75,3841.48,0.40458,0.34084,0.93401,0.95181,0.91667,0.9494,0.82244,0.45627,0.43801,1.09207,0.0005348,0.0005348,0.0005348
76,3892.96,0.39072,0.33623,0.92409,0.94755,0.91667,0.94959,0.83824,0.44188,0.54154,1.04788,0.000515,0.000515,0.000515
77,3943.7,0.38613,0.3171,0.92307,0.94674,0.91667,0.94556,0.81117,0.47168,0.57404,1.12442,0.0004952,0.0004952,0.0004952
78,3995.78,0.39755,0.31252,0.90705,0.94004,0.91667,0.94932,0.80799,0.47333,0.57411,1.12387,0.0004754,0.0004754,0.0004754
79,4047.31,0.40202,0.32563,0.92142,0.91245,0.95833,0.94891,0.82275,0.46119,0.56928,1.06677,0.0004556,0.0004556,0.0004556
80,4098.9,0.39629,0.3433,0.91791,0.99118,0.91667,0.94627,0.80376,0.4764,0.51012,1.09527,0.0004358,0.0004358,0.0004358
81,4151.55,0.40161,0.33405,0.93834,0.99291,0.91667,0.94848,0.79008,0.49179,0.56393,1.11728,0.000416,0.000416,0.000416
82,4204.7,0.38893,0.31433,0.90602,0.94412,0.91667,0.93745,0.79016,0.51052,0.69557,1.14554,0.0003962,0.0003962,0.0003962
83,4255.01,0.41775,0.34517,0.92711,0.9139,0.91667,0.92255,0.79971,0.51816,0.65446,1.17961,0.0003764,0.0003764,0.0003764
84,4305.26,0.39811,0.3242,0.93185,0.91225,0.91667,0.91215,0.82207,0.45541,0.75214,1.07764,0.0003566,0.0003566,0.0003566
85,4355.36,0.37086,0.31001,0.9188,0.9125,0.91667,0.91575,0.82599,0.43827,0.76597,1.04298,0.0003368,0.0003368,0.0003368
86,4405.85,0.38583,0.30381,0.90865,0.91508,0.91667,0.92815,0.82689,0.42354,0.73082,1.04126,0.000317,0.000317,0.000317
87,4456.07,0.38223,0.30273,0.92326,0.9155,0.91667,0.929,0.8424,0.43705,0.68092,1.03962,0.0002972,0.0002972,0.0002972
88,4507.35,0.38016,0.30383,0.91637,0.91828,0.93645,0.94172,0.83169,0.45662,0.64195,1.04379,0.0002774,0.0002774,0.0002774
89,4556.67,0.3737,0.30345,0.9243,0.9156,0.91667,0.94312,0.8415,0.43852,0.59523,1.0339,0.0002576,0.0002576,0.0002576
90,4606.77,0.35957,0.29841,0.93561,0.91387,0.95833,0.95149,0.84108,0.41569,0.51633,1.0016,0.0002378,0.0002378,0.0002378
91,4657.25,0.29974,0.29486,0.84155,0.91559,0.91667,0.94251,0.83455,0.42759,0.56727,1.01324,0.000218,0.000218,0.000218
92,4706.4,0.30775,0.28302,0.86181,0.91538,0.91667,0.92706,0.83341,0.42049,0.59298,1.01049,0.0001982,0.0001982,0.0001982
93,4754.83,0.28696,0.26463,0.85822,0.91783,0.95833,0.94288,0.84509,0.40962,0.52792,1.00408,0.0001784,0.0001784,0.0001784
94,4803.37,0.28067,0.24658,0.86283,0.91831,0.95833,0.94823,0.83955,0.4159,0.50368,1.02289,0.0001586,0.0001586,0.0001586
95,4851.68,0.28176,0.25494,0.86378,0.91838,0.95833,0.95207,0.83864,0.44979,0.51192,1.04687,0.0001388,0.0001388,0.0001388
96,4900.19,0.2786,0.24476,0.8436,0.91767,0.95833,0.95207,0.84624,0.46192,0.48649,1.0596,0.000119,0.000119,0.000119
97,4948.74,0.27398,0.23804,0.8715,0.91834,0.95833,0.9512,0.84099,0.46088,0.50397,1.06751,9.92e-05,9.92e-05,9.92e-05
98,4997.24,0.27754,0.24698,0.85982,0.91869,0.95833,0.94887,0.84375,0.44978,0.51573,1.06289,7.94e-05,7.94e-05,7.94e-05
99,5045.69,0.26356,0.22948,0.85848,0.91873,0.95833,0.94887,0.84631,0.43332,0.50589,1.04607,5.96e-05,5.96e-05,5.96e-05
100,5094.25,0.26984,0.23745,0.85994,0.91877,0.95833,0.95207,0.86177,0.42531,0.4908,1.04206,3.98e-05,3.98e-05,3.98e-05
